2022.05.23 11:02:00,,,
GOSHO,,,
F1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
4.20,-0.2111309033,-2.585122816,-6.8898538764
4.21,-0.2259541356,-2.587093184,-6.8711271165
4.22,-0.2527962049,-2.594974656,-6.8456268477
4.23,-0.2796382742,-2.608767232,-6.8197281372
4.24,-0.2976665297,-2.6194072192,-6.7926341016
4.25,-0.3052784598,-2.6233479552,-6.781477734
4.26,-0.308483483,-2.6233479552,-6.7918372182
4.27,-0.3096853667,-2.622559808,-6.8069780028
4.28,-0.3112878783,-2.6182249984,-6.8065795611
4.29,-0.3132910178,-2.6064027904,-6.7858605927
4.30,-0.3108872504,-2.5886694784,-6.7611572073
4.31,-0.3008715529,-2.5697539456,-6.745617981
4.32,-0.2912564833,-2.5559613696,-6.737649147
4.33,-0.28043953,-2.5433510144,-6.7348600551
4.34,-0.2704238325,-2.5370458368,-6.7340631717
4.35,-0.2712250883,-2.5468976768,-6.7424304474
4.36,-0.2828432974,-2.5638428416,-6.7635478575
4.37,-0.296464646,-2.5721183872,-6.7986107271
4.38,-0.3108872504,-2.5666013568,-6.837259572
4.39,-0.3213035758,-2.5614784,-6.8627598408
4.40,-0.3217042037,-2.5606902528,-6.8715255582
4.41,-0.3156947852,-2.5551732224,-6.8707286748
4.42,-0.300470925,-2.5484739712,-6.8818850424
4.43,-0.2840451811,-2.5421687936,-6.908979078
4.44,-0.2740294836,-2.5248295552,-6.9201354456
4.45,-0.2748307394,-2.5027614336,-6.912963495
4.46,-0.2820420416,-2.49251552,-6.8990180355
4.47,-0.2852470648,-2.4992147712,-6.8798928339
4.48,-0.2788370184,-2.52207104,-6.8779006254
4.49,-0.2600075071,-2.5465036032,-6.8998149189
4.50,-0.2411779958,-2.563448768,-6.9141588201
4.51,-0.2327648099,-2.5744828288,-6.9145572618
4.52,-0.24037674,-2.5807880064,-6.9045962193
4.53,-0.2592062513,-2.5823643008,-6.8858694594
4.54,-0.272426972,-2.5823643008,-6.8683380246
4.55,-0.2788370184,-2.5799998592,-6.8591738655
4.56,-0.2872502043,-2.567389504,-6.8631582825
4.57,-0.2860483206,-2.5480798976,-6.8763068586
4.58,-0.2828432974,-2.5327110272,-6.8786975088
4.59,-0.2860483206,-2.5232532608,-6.8703302331
4.60,-0.2888527159,-2.5232532608,-6.869134908
4.61,-0.2956633902,-2.5291643648,-6.8763068586
4.62,-0.2940608786,-2.5394102784,-6.8858694594
4.63,-0.2760326231,-2.5524147072,-6.8982211521
4.64,-0.252395577,-2.5646309888,-6.9137603784
4.65,-0.2259541356,-2.5705420928,-6.9241198626
4.66,-0.2063233685,-2.5689657984,-6.9281042796
4.67,-0.1931026478,-2.5638428416,-6.928901163
4.68,-0.1830869503,-2.5551732224,-6.9296980464
4.69,-0.1798819271,-2.543745088,-6.9205338873
4.70,-0.184288834,-2.5323169536,-6.9045962193
4.71,-0.1943045315,-2.5264058496,-6.8906507598
4.72,-0.1983108105,-2.5264058496,-6.8842756926
4.73,-0.1971089268,-2.5295584384,-6.8779006254
4.74,-0.1971089268,-2.5374399104,-6.8623613991
4.75,-0.2007145779,-2.5492621184,-6.8444315226
4.76,-0.204320229,-2.5610843264,-6.8340720384
4.77,-0.2139352986,-2.5748769024,-6.829290738
4.78,-0.2287585309,-2.5843346688,-6.8201265789
4.79,-0.2427805074,-2.5799998592,-6.8177359287
4.80,-0.2612093908,-2.567389504,-6.8249078793
4.81,-0.2716257162,-2.5528087808,-6.8197281372
4.82,-0.2756319952,-2.5390162048,-6.8061811194
4.83,-0.2796382742,-2.5307406592,-6.7966185186
4.84,-0.2868495764,-2.5248295552,-6.7898450097
4.85,-0.2876508322,-2.5098547584,-6.7906418931
4.86,-0.2828432974,-2.4901510784,-6.8085717696
4.87,-0.2748307394,-2.4783288704,-6.8288922963
4.88,-0.2668181814,-2.47281184,-6.8432361975
4.89,-0.2636131582,-2.4732059136,-6.8484159396
4.90,-0.260408135,-2.4759644288,-6.8384548971
4.91,-0.2455849027,-2.4814814592,-6.8245094376
4.92,-0.2251528798,-2.4901510784,-6.8265016461
